Column Name,Label
DP05_0001E,Estimate!!SEX AND AGE!!Total population
DP05_0002E,Estimate!!SEX AND AGE!!Total population!!Male
DP05_0003E,Estimate!!SEX AND AGE!!Total population!!Female
DP05_0004E,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)
DP05_0005E,Estimate!!SEX AND AGE!!Total population!!Under 5 years
DP05_0006E,Estimate!!SEX AND AGE!!Total population!!5 to 9 years
DP05_0007E,Estimate!!SEX AND AGE!!Total population!!10 to 14 years
DP05_0008E,Estimate!!SEX AND AGE!!Total population!!15 to 19 years
DP05_0009E,Estimate!!SEX AND AGE!!Total population!!20 to 24 years
DP05_0010E,Estimate!!SEX AND AGE!!Total population!!25 to 34 years
DP05_0011E,Estimate!!SEX AND AGE!!Total population!!35 to 44 years
DP05_0012E,Estimate!!SEX AND AGE!!Total population!!45 to 54 years
DP05_0013E,Estimate!!SEX AND AGE!!Total population!!55 to 59 years
DP05_0014E,Estimate!!SEX AND AGE!!Total population!!60 to 64 years
DP05_0015E,Estimate!!SEX AND AGE!!Total population!!65 to 74 years
DP05_0016E,Estimate!!SEX AND AGE!!Total population!!75 to 84 years
DP05_0017E,Estimate!!SEX AND AGE!!Total population!!85 years and over
DP05_0018E,Estimate!!SEX AND AGE!!Total population!!Median age (years)
DP05_0019E,Estimate!!SEX AND AGE!!Total population!!Under 18 years
DP05_0024E,Estimate!!SEX AND AGE!!Total population!!65 years and over
DP05_0033E,Estimate!!RACE!!Total population
DP05_0034E,Estimate!!RACE!!Total population!!One race
DP05_0035E,Estimate!!RACE!!Total population!!Two or more races
DP05_0036E,Estimate!!RACE!!Total population!!One race
DP05_0037E,Estimate!!RACE!!Total population!!One race!!White
DP05_0038E,Estimate!!RACE!!Total population!!One race!!Black or African American
DP05_0039E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native
DP05_0040E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping
DP05_0041E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping
DP05_0042E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping
DP05_0043E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping
DP05_0044E,Estimate!!RACE!!Total population!!One race!!Asian
DP05_0045E,Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian
DP05_0046E,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese
DP05_0047E,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino
DP05_0048E,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese
DP05_0049E,Estimate!!RACE!!Total population!!One race!!Asian!!Korean
DP05_0050E,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese
DP05_0051E,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian
DP05_0052E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander
DP05_0053E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian
DP05_0054E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro
DP05_0055E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan
DP05_0056E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander
DP05_0057E,Estimate!!RACE!!Total population!!One race!!Some other race
DP05_0058E,Estimate!!RACE!!Total population!!Two or more races
DP05_0059E,Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American
DP05_0060E,Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native
DP05_0061E,Estimate!!RACE!!Total population!!Two or more races!!White and Asian
DP05_0062E,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native
DP05_0063E,Estimate!!Race alone or in combination with one or more other races!!Total population
DP05_0064E,Estimate!!Race alone or in combination with one or more other races!!Total population!!White
DP05_0065E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American
DP05_0066E,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native
DP05_0067E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian
DP05_0068E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander
DP05_0069E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race
DP05_0070E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population
DP05_0071E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
DP05_0072E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican
DP05_0073E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican
DP05_0074E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban
DP05_0075E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino
DP05_0076E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino
DP05_0077E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone
DP05_0078E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone
DP05_0079E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone
DP05_0080E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone
DP05_0081E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone
DP05_0082E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone
DP05_0083E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races
